Wall time,Step,Value
1763543211.5318177,2048,99.05000305175781
1763543212.592815,4096,88.67391204833984
1763543213.675581,6144,70.3448257446289
1763543214.7146602,8192,37.20000076293945
1763543215.7777367,10240,26.40999984741211
1763543216.8453724,12288,21.809999465942383
1763543217.8805509,14336,18.420000076293945
1763543218.9005423,16384,16.049999237060547
1763543219.9536014,18432,15.329999923706055
1763543220.9866273,20480,14.890000343322754
1763543222.0352116,22528,14.399999618530273
1763543223.0685177,24576,14.279999732971191
1763543224.1160781,26624,14.15999984741211
1763543225.1748428,28672,14.170000076293945
1763543226.2079277,30720,14.039999961853027
1763543227.28279,32768,14.109999656677246
1763543228.3290508,34816,14.09000015258789
1763543229.3876967,36864,14.140000343322754
1763543230.4100146,38912,14.050000190734863
1763543231.4411242,40960,14.029999732971191
